StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,,,,Q2,Q2_5_TEXT,Q3,Q3_1_TEXT,Q3_2_TEXT,Q3_3_TEXT,Q4,Q4_4_TEXT,Q5,Q5_6_TEXT,Q6,Q7,Q7_4_TEXT,Q7_3_TEXT,Q8_2,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q10_11,Q10_12,Q10_13,Q10_14,Q10_15,Q10_16,Q10_17,Q10_18,Q10_19,Q10_20,Q10_21,Q10_22,Q10_23,Q10_24,Q10_25,Q10_26,Q10_27,Q10_28,Q10_29,Q10_30,Q10_31,Q10_32,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,Q11_15,Q11_16,Q11_17,Q11_18,Q11_19,Q11_20,Q11_21,Q11_22,Q11_23,Q11_24,Q11_25,Q11_26,Q11_27,Q11_28,Q11_29,Q11_30,Q11_31,Q11_32,Q12_1,Q12_2,Q12_3,Q13_1,Q13_2,Q13_3,Q14_1,Q14_2,Q14_3,Q15_1,Q15_2,Q16_1,Q16_2,Q17,Q18_1,Q18_2,Q18_3,Q18_4,Q18_5,Q18_6,Q19,Q20_1,Q20_2,Q20_3,Q21,Q21_4_TEXT,Q22,Q23,Q24,Q25,Q26,Q27,Q28
10/25/2019 9:44,10/25/2019 9:49,IP Address,152.3.43.47,100,264,TRUE,10/25/2019 9:49,R_3HXoF7fAV01aHA0,,,,Freshman,,May of,2023,,,High school AP economics course(s).,,"I am exploring potential interests.,I am exploring potential career paths.,I am interested in economics as a subject.,It will help me achieve my career goals.",,"Policy Analyst,Medical profession",It made my decision easier.,,,45,"No, I do not expect to major in economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,,,,Pick one or two majors,,,,,,Neutral,Neutral,Yes,Neutral,Neutral,Yes,Yes,Yes,Yes,Above-average competitive,Above-average competitive,I now feel it is less competitive,No change,"Asset pricing,Marriage and divorce,Compliance by AIDS patients with their prescribed drug regimens,Protection of endangered species,Optimal rate at which to switch telephone service providers",8,7,7,5,9,7,A few times a month,1,2,3,"Yes, it increases my probability.",,Only my father received a college or university degree.,FALSE,No,Asian (including Indian subcontinent and Philippines),Female,Yes,
10/25/2019 9:46,10/25/2019 9:49,IP Address,152.3.43.43,100,147,TRUE,10/25/2019 9:49,R_2w4ibY46UfDx11T,,,,Sophomore,,May of,2022,,,This is my first formal economics course,,"I am exploring potential career paths.,I am interested in economics as a subject.",,"Working for a government agency, non-profit, foundation, NGO, etc.",It had no effect on my decision.,,,100,I expect a single major in economics,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Neutral,Neutral,Above-average competitive,Extremely competitive,I now feel it is less competitive,I now feel like it is more competitive,"Asset pricing,Marriage and divorce,Compliance by AIDS patients with their prescribed drug regimens,Protection of endangered species,Optimal rate at which to switch telephone service providers",10,7,9,10,10,10,A few times a month,4,1,1,"No, it is irrelevant.",,Both of my parents received a college or university degree.,TRUE,No,White (including Middle Eastern),Female,Yes,
10/25/2019 9:46,10/25/2019 9:49,IP Address,152.3.43.43,100,169,TRUE,10/25/2019 9:49,R_3rVdjc8DYpGohrJ,,,,Freshman,,May of,2023,,,This is my first formal economics course,,I am exploring potential interests.,,"Lawyer,Working for a government agency, non-profit, foundation, NGO, etc.",I registered for this class not knowing it was Pass/Fail.,,,0,"No, I do not expect to major in economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,Pick one or two majors,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Above-average competitive,Above-average competitive,I now feel like it is more competitive,I now feel like it is more competitive,"Asset pricing,Marriage and divorce,Compliance by AIDS patients with their prescribed drug regimens,Protection of endangered species,Optimal rate at which to switch telephone service providers",6,1,6,1,8,10,A few times a month,3,3,1,"No, it is irrelevant.",,Both of my parents received a college or university degree.,TRUE,No,White (including Middle Eastern),Female,Yes,
10/25/2019 9:44,10/25/2019 9:49,IP Address,174.109.67.38,100,333,TRUE,10/25/2019 9:49,R_1mObsQfTlLYEwsn,,,,Other—please describe.,Graduate Student,May of,2021,,,This is my first formal economics course,,Other—please describe.,Its a prerequisite for me to take forest economics for my masters. ,"Working for a government agency, non-profit, foundation, NGO, etc.",It had no effect on my decision.,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,No,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Above-average competitive,Above-average competitive,No change,No change,"Asset pricing,Marriage and divorce,Compliance by AIDS patients with their prescribed drug regimens,Protection of endangered species,Optimal rate at which to switch telephone service providers",4,6,0,5,4,10,A few times a week,1,2,2,"No, it is irrelevant.",,Both of my parents received a college or university degree.,FALSE,No,White (including Middle Eastern),Female,Yes,
10/24/2019 12:56,10/25/2019 9:49,IP Address,107.77.235.92,100,75171,TRUE,10/25/2019 9:49,R_23Zt8XeP6hEhJrF,,,,Freshman,,May of,2023,,,This is my first formal economics course,,"I am exploring potential interests.,I am exploring potential career paths.,I am interested in economics as a subject.,It will help me achieve my career goals.",,Policy Analyst,It had no effect on my decision.,,,90,I expect a double major with economics being one of my majors,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,3,3,No change,No change,Asset pricing,7,7,0,1,6,6,A few times a week,2,3,2,"No, it is irrelevant.",,Both of my parents received a college or university degree.,TRUE,No,White (including Middle Eastern),Male,,
10/25/2019 9:45,10/25/2019 9:50,IP Address,152.3.43.57,100,265,TRUE,10/25/2019 9:50,R_5p6FZwQAEiJbkAx,,,,Freshman,,May of,2023,,,High school AP economics course(s).,,"I am exploring potential career paths.,I am interested in economics as a subject.",,"Wall Street-type occupation,Consultant",It had no effect on my decision.,,,75,I expect a single major in economics,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Extremely competitive,Above-average competitive,I now feel like it is more competitive,I now feel like it is more competitive,Asset pricing,10,3,3,5,3,5,A few times a week,2,4,1,"No, it is irrelevant.",,Both of my parents received a college or university degree.,TRUE,No,Asian (including Indian subcontinent and Philippines),Male,Yes,
10/25/2019 9:45,10/25/2019 9:50,IP Address,152.3.43.43,100,278,TRUE,10/25/2019 9:50,R_3qHCtmaO6cBxu33,,,,Freshman,,May of,2023,,,High school AP economics course(s).,,"I am exploring potential interests.,I am exploring potential career paths.,I am interested in economics as a subject.",,"Wall Street-type occupation,Policy Analyst,Consultant,Lawyer",It made my decision easier.,,,80,I expect a double major with economics being one of my majors,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Above-average competitive,Extremely competitive,No change,No change,"Asset pricing,Marriage and divorce,Protection of endangered species,Optimal rate at which to switch telephone service providers",10,2,0,0,6,10,A few times a week,3,3,1,"No, it is irrelevant.",,Only my mother received a college or university degree.,TRUE,No,White (including Middle Eastern),Male,Yes,
10/25/2019 9:47,10/25/2019 9:50,IP Address,198.86.29.22,100,184,TRUE,10/25/2019 9:50,R_1jljnYIubBjbmcj,,,,Freshman,,May of,2023,,,This is my first formal economics course,,"I am exploring potential interests.,I am exploring potential career paths.,I am interested in economics as a subject.,It will help me achieve my career goals.",,"Policy Analyst,Working for a government agency, non-profit, foundation, NGO, etc.",It was crucial to my decision.,,,55,I expect a single major in economics,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Extremely competitive,Extremely competitive,No change,I now feel like it is more competitive,"Asset pricing,Compliance by AIDS patients with their prescribed drug regimens,Protection of endangered species,Optimal rate at which to switch telephone service providers",8,7,4,1,6,9,A few times a week,3,2,2,"No, it is irrelevant.",,Both of my parents received a college or university degree.,FALSE,No,White (including Middle Eastern),Male,Yes,
10/25/2019 9:46,10/25/2019 9:51,IP Address,152.3.43.57,100,275,TRUE,10/25/2019 9:51,R_3GCFfSZkhnWKo9l,,,,Freshman,,May of,2023,,,This is my first formal economics course,,I am interested in economics as a subject.,,None of the above,It made my decision easier.,,,0,"No, I do not expect to major in economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Neutral,Neutral,Neutral,Yes,Yes,Yes,Above-average competitive,Average,No change,No change,"Asset pricing,Marriage and divorce,Compliance by AIDS patients with their prescribed drug regimens,Protection of endangered species,Optimal rate at which to switch telephone service providers",5,3,1,1,4,4,A few times a week,1,2,2,"No, it is irrelevant.",,Both of my parents received a college or university degree.,FALSE,No,White (including Middle Eastern),Male,Yes,
10/25/2019 9:46,10/25/2019 9:51,IP Address,152.3.43.49,100,302,TRUE,10/25/2019 9:51,R_27qXI7tKnGLgygc,,,,Freshman,,May of,2023,,,High school AP economics course(s).,,"I am exploring potential interests.,I am exploring potential career paths.,I am interested in economics as a subject.,It will help me achieve my career goals.",,"Wall Street-type occupation,Consultant",It had no effect on my decision.,,,90,I expect a single major in economics,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Neutral,Yes,Neutral,Neutral,Neutral,Yes,Neutral,Neutral,Average,Extremely competitive,I now feel it is less competitive,I now feel like it is more competitive,"Asset pricing,Marriage and divorce,Protection of endangered species,Optimal rate at which to switch telephone service providers",7,4,3,2,8,7,Daily,2,3,1,"No, it is irrelevant.",,Both of my parents received a college or university degree.,TRUE,No,White (including Middle Eastern),Male,Yes,
10/25/2019 9:45,10/25/2019 9:51,IP Address,152.3.43.47,100,366,TRUE,10/25/2019 9:51,R_2v9d0rlvC5DCzl9,,,,Freshman,,May of,2023,,,This is my first formal economics course,,I am exploring potential interests.,,None of the above,It made my decision easier.,,,60,I expect a double major with economics being one of my majors,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Average,Average,No change,No change,Asset pricing,5,5,5,5,5,5,Daily,2,2,2,"No, it is irrelevant.",,Only my father received a college or university degree.,TRUE,No,Asian (including Indian subcontinent and Philippines),Male,Yes,
10/25/2019 9:45,10/25/2019 9:52,IP Address,198.86.29.21,100,372,TRUE,10/25/2019 9:52,R_ZEIlfMl85nA9v2h,,,,Freshman,,May of,2023,,,Other—please describe.,"I took AP Macroeconomics in high school but not AP Microeconomics, so I could not receive course credit","I am exploring potential interests.,I am exploring potential career paths.,I am interested in economics as a subject.,It will help me achieve my career goals.",,"Wall Street-type occupation,Consultant,Medical profession",It had no effect on my decision.,,,75,I expect a single major in economics,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Neutral,Yes,Yes,Yes,Neutral,I'm not sure,Above-average competitive,Extremely competitive,I now feel like it is more competitive,I now feel like it is more competitive,"Asset pricing,Compliance by AIDS patients with their prescribed drug regimens,Optimal rate at which to switch telephone service providers",9,5,1,4,6,7,Daily,2,3,2,"No, it is irrelevant.",,Both of my parents received a college or university degree.,TRUE,No,White (including Middle Eastern),Male,Yes,
10/25/2019 9:45,10/25/2019 9:52,IP Address,152.3.43.47,100,437,TRUE,10/25/2019 9:52,R_1jAMuuddd8F0gyJ,,,,Sophomore,,May of,2022,,,This is my first formal economics course,,"I am exploring potential interests.,I am exploring potential career paths.",,"Wall Street-type occupation,Consultant",It was crucial to my decision.,,,0,"No, I do not expect to major in economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,Neutral,No,Yes,Neutral,No,Yes,Yes,No,Yes,Extremely competitive,Extremely competitive,No change,No change,"Asset pricing,Marriage and divorce,Compliance by AIDS patients with their prescribed drug regimens,Protection of endangered species,Optimal rate at which to switch telephone service providers",7,9,7,10,7,2,Hardly ever,4,2,1,"Yes, it decreases my probability.",,Both of my parents received a college or university degree.,TRUE,No,White (including Middle Eastern),Female,Yes,
10/25/2019 9:47,10/25/2019 9:52,IP Address,152.3.43.49,100,318,TRUE,10/25/2019 9:52,R_12o7VwQ08P4jFPm,,,,Freshman,,May of,2023,,,High school AP economics course(s).,,"I am exploring potential interests.,I am exploring potential career paths.,I am interested in economics as a subject.,It will help me achieve my career goals.",,"Wall Street-type occupation,Consultant,Lawyer",It had no effect on my decision.,,,80,I expect a double major with economics being one of my majors,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Yes,Yes,Above-average competitive,Extremely competitive,No change,No change,"Asset pricing,Marriage and divorce,Compliance by AIDS patients with their prescribed drug regimens,Protection of endangered species,Optimal rate at which to switch telephone service providers",9,6,5,4,5,6,A few times a week,1,2,2,"No, it is irrelevant.",,Both of my parents received a college or university degree.,FALSE,No,Asian (including Indian subcontinent and Philippines),Female,Yes,
10/25/2019 9:50,10/25/2019 9:52,IP Address,152.3.43.45,100,162,TRUE,10/25/2019 9:52,R_2YtcAszxN9Gxngy,,,,Freshman,,May of,2023,,,High school AP economics course(s).,,"I am exploring potential interests.,I am exploring potential career paths.,I am interested in economics as a subject.",,"Consultant,Working for a government agency, non-profit, foundation, NGO, etc.",I registered for this class not knowing it was Pass/Fail.,,,75,I expect a double major with economics being one of my majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Above-average competitive,Above-average competitive,I now feel like it is more competitive,I now feel like it is more competitive,"Asset pricing,Marriage and divorce,Compliance by AIDS patients with their prescribed drug regimens,Optimal rate at which to switch telephone service providers",6,3,6,9,10,10,A few times a week,1,0,0,"No, it is irrelevant.",,Both of my parents received a college or university degree.,FALSE,No,Asian (including Indian subcontinent and Philippines),Female,Yes,
10/25/2019 9:50,10/25/2019 9:52,IP Address,152.3.43.43,100,159,TRUE,10/25/2019 9:52,R_0iFR0A7B5GbXXxv,,,,Freshman,,May of,2023,,,This is my first formal economics course,,"I am exploring potential interests.,I am exploring potential career paths.,I am interested in economics as a subject.",,"Wall Street-type occupation,Policy Analyst,Consultant,Lawyer,Working for a government agency, non-profit, foundation, NGO, etc.",I registered for this class not knowing it was Pass/Fail.,,,64,I expect a double major with economics being one of my majors,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Above-average competitive,Extremely competitive,I now feel like it is more competitive,I now feel like it is more competitive,"Asset pricing,Marriage and divorce,Compliance by AIDS patients with their prescribed drug regimens,Protection of endangered species,Optimal rate at which to switch telephone service providers",9,5,3,2,4,6,Daily,1,4,1,"No, it is irrelevant.",,Both of my parents received a college or university degree.,FALSE,No,White (including Middle Eastern),Female,Yes,
10/25/2019 9:49,10/25/2019 9:53,IP Address,152.3.43.42,100,241,TRUE,10/25/2019 9:53,R_3lqjG2wIYS1000h,,,,Freshman,,May of,2023,,,This is my first formal economics course,,"I am exploring potential interests.,I am exploring potential career paths.,I am interested in economics as a subject.,It will help me achieve my career goals.",,Wall Street-type occupation,I registered for this class not knowing it was Pass/Fail.,,,70,I expect a single major in economics,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Neutral,Yes,Neutral,Neutral,Yes,Yes,Yes,Yes,Average,Average,I now feel it is less competitive,No change,"Asset pricing,Optimal rate at which to switch telephone service providers",6,6,9,5,10,4,A few times a week,1,3,2,"No, it is irrelevant.",,Both of my parents received a college or university degree.,FALSE,No,White (including Middle Eastern),Female,Yes,
10/25/2019 9:50,10/25/2019 9:53,IP Address,198.86.29.22,100,146,TRUE,10/25/2019 9:53,R_pARLIcuMaGG2pd7,,,,Sophomore,,May of,2022,,,This is my first formal economics course,,I am exploring potential interests.,,Consultant,It was crucial to my decision.,,,4,"No, I do not expect to major in economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,,Neutral,No,No,No,No,No,Yes,Yes,Yes,Extremely competitive,Extremely competitive,I now feel like it is more competitive,I now feel like it is more competitive,"Asset pricing,Marriage and divorce,Compliance by AIDS patients with their prescribed drug regimens,Protection of endangered species,Optimal rate at which to switch telephone service providers",5,8,1,8,9,9,A few times a week,2,3,2,"No, it is irrelevant.",,Both of my parents received a college or university degree.,TRUE,No,White (including Middle Eastern),Female,Yes,
10/25/2019 9:50,10/25/2019 9:53,IP Address,152.3.43.40,100,209,TRUE,10/25/2019 9:53,R_2BnT5UaMIKvzVkR,,,,Freshman,,May of,2023,,,Other—please describe.,"I took AP Macro, but not Micro","I am exploring potential career paths.,I am interested in economics as a subject.,It will help me achieve my career goals.",,"Wall Street-type occupation,Consultant,Lawyer",I registered for this class not knowing it was Pass/Fail.,,,90,I expect a double major with economics being one of my majors,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,Yes,Yes,Neutral,Yes,Yes,Yes,Yes,Yes,Average,Extremely competitive,No change,I now feel like it is more competitive,"Asset pricing,Optimal rate at which to switch telephone service providers",8,6,2,2,4,8,Daily,3,2,1,"No, it is irrelevant.",,Both of my parents received a college or university degree.,FALSE,No,White (including Middle Eastern),Male,Yes,
10/25/2019 9:50,10/25/2019 9:53,IP Address,152.3.43.48,100,203,TRUE,10/25/2019 9:53,R_1LU5wN5wgfShU6V,,,,Freshman,,May of,2023,,,This is my first formal economics course,,"I am exploring potential interests.,I am exploring potential career paths.",,"Consultant,Lawyer",It made me hesitant to take ECON 101. (Please explain why):,Usually pass/fail courses are harder than normal,,72,I expect a single major in economics,,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neutral,I'm not sure,Yes,I'm not sure,Neutral,Yes,Yes,Neutral,Yes,Above-average competitive,Extremely competitive,No change,No change,"Asset pricing,Marriage and divorce,Optimal rate at which to switch telephone service providers",9,4,0,0,7,5,A few times a month,4,1,1,"No, it is irrelevant.",,Both of my parents received a college or university degree.,FALSE,No,White (including Middle Eastern),Male,Yes,
10/25/2019 9:50,10/25/2019 9:53,IP Address,152.3.43.46,100,205,TRUE,10/25/2019 9:54,R_2QfUqqajV96sPjg,,,,Freshman,,May of,2023,,,This is my first formal economics course,,"I am exploring potential interests.,I am interested in economics as a subject.,It will help me achieve my career goals.",,"Consultant,Lawyer,Working for a government agency, non-profit, foundation, NGO, etc.",I registered for this class not knowing it was Pass/Fail.,,,22,"No, I do not expect to major in economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,Pick one or two majors,,,,,,,,Neutral,No,Yes,Neutral,Neutral,Yes,Yes,Neutral,Yes,Above-average competitive,Extremely competitive,I now feel it is less competitive,No change,"Asset pricing,Optimal rate at which to switch telephone service providers",6,2,4,6,8,9,A few times a week,1,3,2,"No, it is irrelevant.",,Both of my parents received a college or university degree.,TRUE,No,White (including Middle Eastern),Female,Yes,
10/25/2019 9:50,10/25/2019 9:54,IP Address,152.3.43.49,100,190,TRUE,10/25/2019 9:54,R_3gXTbtvQQclntEE,,,,Freshman,,May of,2023,,,High school AP economics course(s).,,I am exploring potential interests.,,"Wall Street-type occupation,Consultant,Lawyer,Working for a government agency, non-profit, foundation, NGO, etc.,Medical profession",It had no effect on my decision.,,,6,"No, I do not expect to major in economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Average,Above-average competitive,No change,No change,"Asset pricing,Marriage and divorce,Compliance by AIDS patients with their prescribed drug regimens,Protection of endangered species,Optimal rate at which to switch telephone service providers",3,2,0,0,0,0,A few times a week,3,4,1,"No, it is irrelevant.",,Both of my parents received a college or university degree.,FALSE,No,White (including Middle Eastern),Female,Yes,
10/25/2019 9:50,10/25/2019 9:54,IP Address,152.3.43.49,100,266,TRUE,10/25/2019 9:54,R_3e4VWaFLQU3Jq7z,,,,Freshman,,May of,2023,,,This is my first formal economics course,,"I am exploring potential interests.,I am exploring potential career paths.,I am interested in economics as a subject.",,"Academic or Researcher,Wall Street-type occupation,Consultant",It had no effect on my decision.,,,25,"No, I do not expect to major in economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,,,,,,,Pick one or two majors,,,,,,,,,,,,Neutral,Neutral,Yes,Neutral,No,Yes,Yes,No,Neutral,Above-average competitive,Above-average competitive,No change,No change,"Asset pricing,Marriage and divorce,Compliance by AIDS patients with their prescribed drug regimens,Optimal rate at which to switch telephone service providers",8,10,2,2,3,3,A few times a month,3,3,3,"No, it is irrelevant.",,Both of my parents received a college or university degree.,TRUE,No,Asian (including Indian subcontinent and Philippines),Male,Yes,
10/25/2019 9:50,10/25/2019 9:54,IP Address,152.3.43.48,100,268,TRUE,10/25/2019 9:54,R_25LvjzW3DaYL1lH,,,,Freshman,,May of,2023,,,This is my first formal economics course,,"I am exploring potential interests.,I am exploring potential career paths.,I am interested in economics as a subject.",,"Wall Street-type occupation,Policy Analyst,Consultant,Working for a government agency, non-profit, foundation, NGO, etc.",It made my decision easier.,,,62,I expect a double major with economics being one of my majors,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Yes,Yes,Average,Average,No change,No change,"Asset pricing,Marriage and divorce,Compliance by AIDS patients with their prescribed drug regimens,Optimal rate at which to switch telephone service providers",10,10,10,10,10,10,A few times a week,1,2,2,"No, it is irrelevant.",,Both of my parents received a college or university degree.,TRUE,,,Female,Yes,
10/25/2019 9:50,10/25/2019 9:55,IP Address,198.86.29.21,100,274,TRUE,10/25/2019 9:55,R_1Uppmn9YH3jWwlb,,,,Freshman,,May of,2023,,,This is my first formal economics course,,"I am exploring potential interests.,I am exploring potential career paths.,I am interested in economics as a subject.,It will help me achieve my career goals.",,"Wall Street-type occupation,Consultant",It had no effect on my decision.,,,75,I expect a double major with economics being one of my majors,,,,,,,,,Pick one or two majors,,,,,,,,,,,,Pick one or two majors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,I'm not sure,Yes,Yes,Neutral,Yes,Neutral,Neutral,Above-average competitive,Extremely competitive,I now feel like it is more competitive,I now feel like it is more competitive,None of the above,8,9,7,4,8,8,A few times a week,2,3,2,"No, it is irrelevant.",,Only my father received a college or university degree.,TRUE,No,White (including Middle Eastern),Male,Yes,
10/25/2019 9:51,10/25/2019 9:55,IP Address,152.3.43.50,100,217,TRUE,10/25/2019 9:55,R_2cpimzs8TpzGuHY,,,,Freshman,,May of,2023,,,This is my first formal economics course,,I am interested in economics as a subject.,,Lawyer,It was crucial to my decision.,,,30,"No, I do not expect to major in economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,,Pick one or two majors,,,,,,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Extremely competitive,Extremely competitive,I now feel like it is more competitive,I now feel like it is more competitive,"Asset pricing,Marriage and divorce,Compliance by AIDS patients with their prescribed drug regimens,Protection of endangered species,Optimal rate at which to switch telephone service providers",8,2,10,8,10,8,A few times a week,2,4,1,"No, it is irrelevant.",,Both of my parents received a college or university degree.,TRUE,No,White (including Middle Eastern),Female,Yes,
10/25/2019 9:50,10/25/2019 9:55,IP Address,152.3.43.47,100,302,TRUE,10/25/2019 9:55,R_3KpxILQDHrCHHMf,,,,Freshman,,May of,2023,,,This is my first formal economics course,,"I am exploring potential interests.,I am exploring potential career paths.,I am interested in economics as a subject.,It will help me achieve my career goals.,My parents or relatives pressured me.",,"Academic or Researcher,Lawyer",It had no effect on my decision.,,,40,"No, I do not expect to major in economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,Pick one or two majors,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Above-average competitive,Above-average competitive,I now feel like it is more competitive,I now feel like it is more competitive,"Asset pricing,Marriage and divorce,Compliance by AIDS patients with their prescribed drug regimens,Protection of endangered species,Optimal rate at which to switch telephone service providers",6,4,7,6,10,10,A few times a week,1,1,1,"No, it is irrelevant.",,Both of my parents received a college or university degree.,TRUE,No,White (including Middle Eastern),Male,Yes,
10/25/2019 9:50,10/25/2019 9:55,IP Address,152.3.43.50,100,338,TRUE,10/25/2019 9:55,R_3EsRhsbfLdQD0tG,,,,Freshman,,May of,2023,,,Other—please describe.,I took an ECON IBSL course but did not receive credit since it was an SL,"I am exploring potential interests.,I am exploring potential career paths.,I am interested in economics as a subject.,It will help me achieve my career goals.",,"Policy Analyst,Working for a government agency, non-profit, foundation, NGO, etc.",It made my decision easier.,,,27,"No, I do not expect to major in economics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pick one or two majors,,,,,,,,,,,,Pick one or two majors,,,,,,,,Neutral,Yes,Yes,Yes,Neutral,Neutral,Yes,Yes,Yes,Average,Above-average competitive,No change,No change,"Asset pricing,Marriage and divorce,Optimal rate at which to switch telephone service providers",8,4,3,2,9,8,A few times a month,2,4,2,Other. Please explain:,I am considering it in light of the fact that there are other types of economics study available,Both of my parents received a college or university degree.,TRUE,No,,,Yes,
